dataset,processed_input,reference,max_new_tokens,stop_sequence,extraction_method,evaluation_metric,id
hellaswag,"Choose the correct answer. Respond with a single letter.
Context:
A group of people are sitting outside on the bleachers watching a game of water polo. in the water
Options:
A. , two boys begin treading water and staying in the same place.
B. a woman stands on a rope over and over.
C. , a person is seen sitting on the sand while the people in the net cheers on.
D. , a man is thrown into a pile of wood by someone riding a motor bike in the water.
Answer:
",A,1,['\n'],multiple_choice,exact_match,hellaswag_1
hellaswag,"Choose the correct answer. Respond with a single letter.
Context:
A group of boys are on the sidewalk of a street. They are bouncing around on stilts. they
Options:
A. continue talking as they bounce and walk.
B. have wrapping paper in their hands.
C. hit hoops each other as they walk.
D. bounce and flip over a wobbly bar onto a mat.
Answer:
",A,1,['\n'],multiple_choice,exact_match,hellaswag_2
hellaswag,"Choose the correct answer. Respond with a single letter.
Context:
[header] How to make a clutch bag with a bow knot [title] Cut the fabric pieces as follows : [substeps] For the body of the bag: cut two pieces of fabric measuring 10 "" x 6 "". For the strap: cut one piece fabric measuring 14. 5 "" x 3 "". For the bow: cut two pieces of fabric measuring 11 "" x 5 "".
Options:
A. For the final strap: cut two pieces of fabric measuring 22 "" x 6 "". For the first strap: cut one piece of fabric measuring 24 "" x 10 "".
B. The other piece is used to double-knot a button. For the neck: cut two pieces of fabric measuring 24 "" x 8 "".
C. For the zipper: cut one piece fabric measuring 35 "" x 10 "". For the ribbon: cut two pieces of fabric measuring 24 "" x 10 "".
D. An additional bow piece: cut one piece of fabric measuring 2 "" x 5 "". Lining: cut two pieces of fabric measuring 10 "" x 6 "".
Answer:
",D,1,['\n'],multiple_choice,exact_match,hellaswag_3
hellaswag,"Choose the correct answer. Respond with a single letter.
Context:
[header] How to get stuff out of your eye [title] Wash your hands. [step] Even if your hands don't seem dirty, it's important to wash them if you're going to touch your eye. You don't want to remove an object from your eye only to infect it with something worse.
Options:
A. [substeps] After washing your hands with a gentle soap, use warm, soapy water to clean your eye. If you'd rather not use hand sanitizer, wash your hands with warm, soapy water.
B. Don't touch your eye with a hairbrush or similar item. [substeps] If you suspect eye germs, act quickly and remove them before your client comes to visit.
C. If possible, use a mild soap or antibacterial hand soap. [substeps] If you're in a public place, however, to catch and remove a substance, go ahead.
D. [substeps] Wash your hands thoroughly with soap and clean water for at least 20 seconds. This ensures that you don't get bacteria or other contaminants in your eyes.
Answer:
",D,1,['\n'],multiple_choice,exact_match,hellaswag_4
hellaswag,"Choose the correct answer. Respond with a single letter.
Context:
[header] How to pet a turtle [title] Approach from the front. [step] If the turtle cannot see you and suddenly your hand appears, it may get frightened and bite you. Always approach a turtle from the front so that it can see you.
Options:
A. If it doesn't spot you, it will be fearful and liable to bite back. [title] Remove the cage's lid and trap it if necessary.
B. [title] Hold the turtle gently by its bottom and scoop its mouth. [step] Place it in the palm of your hand so its mouth is placed between the palm of your hand and the turtle's mouth.
C. [title] Place turtles on a low, flat surface. [step] Turtles will be the most receptive to human interaction when they feel safe and secure, so place them on the floor (preferably tile rather than carpet) when petting them.
D. [title] Carefully place one hand on the turtle's back. [step] Its ears should be near the front of its body, and often the turtle will flap its fins to the sides.
Answer:
",C,1,['\n'],multiple_choice,exact_match,hellaswag_5
hellaswag,"Choose the correct answer. Respond with a single letter.
Context:
A man walks alongside a boy who is mowing the lawn. he
Options:
A. is running around the yard, jumping over the obstacle.
B. is running in slow motion, watching for his step.
C. instructs the boy on how to turn the mower and go around a small tree.
D. ties a man's shoes.
Answer:
",C,1,['\n'],multiple_choice,exact_match,hellaswag_6
hellaswag,"Choose the correct answer. Respond with a single letter.
Context:
People are swimming in the water. two women
Options:
A. are sitting at a desk.
B. are standing on top of a diving board together.
C. are in the boat.
D. are standing on the beach watching.
Answer:
",D,1,['\n'],multiple_choice,exact_match,hellaswag_7
hellaswag,"Choose the correct answer. Respond with a single letter.
Context:
[header] How to be adventurous [title] Let go of what is holding you back. [step] Inhibitions are feelings that make you self-conscious and unable to act in a relaxed and natural way. Perhaps you are shy, inexperienced or fearful.
Options:
A. Acting inappropriately might loosen up those around you. Try to allow yourself to bounce back from your shyness.
B. In order to let go of what is holding you back you must feel safe with yourself, your surroundings and the people around you. [substeps] Ask yourself why you want to be adventurous.
C. When confronted by a serious problem, find ways to combat it by seeking the assistance of someone who can guide you through it. This person could be a trusted friend, a family member, or a holy war instructor.
D. Letting go of these feelings sends the message to your brain that you are not a wild animal and that as a result, you are less inhibited. Remind yourself what you are more confident about: your body.
Answer:
",B,1,['\n'],multiple_choice,exact_match,hellaswag_8
hellaswag,"Choose the correct answer. Respond with a single letter.
Context:
A man in red turban stands in a kitchen. He pours some ingredients into a glass. He explains his methods holding a spoon. he
Options:
A. then finishes the drink with a garnish.
B. holds the spoon in his hands and lifts it up to show the proper position.
C. pours the ingredients into a bowl at the counter.
D. adds salt and peppers into the glass as well.
Answer:
",A,1,['\n'],multiple_choice,exact_match,hellaswag_9
hellaswag,"Choose the correct answer. Respond with a single letter.
Context:
[header] How to recycle car seats [title] Contact a local car seat trade-in program to recycle your intact car seat. [step] Certain retail stores that sell new baby gear have trade-in programs that will take your used car seat for its recyclable parts. Some stores even offer a discount on a new car seat or a coupon for baby gear in exchange for your old car seat.
Options:
A. Ask around and consider the other automotive or recycling resources available to you. [title] Recycle at a recycling center.
B. [title] Check your car seat's changing colors. [step] Changing out a car seat can dramatically improve the color of your car seat if you use vinyl, vinyl, vinyl, or vinyl seats.
C. [title] Mail all programs to the information services website. [step] Go to the directories section of the department of vehicle services website and select your current vin.
D. [substeps] Call the store where your car seat came from or look online to see if they offer any car seat trading programs. [title] Ask if your car seat is accepted by your local recycling program.
Answer:
",D,1,['\n'],multiple_choice,exact_match,hellaswag_10
